,model,model_that_generated_system_prompt,accuracy,precision,recall,bootstrap_std
0,openai/gpt-4o,chatgpt,0.4264305177111717,0.017857142857142856,0.0027247956403269754,0.019422265676211848
1,openai/gpt-4o-mini,claude,0.5068119891008175,0.8571428571428571,0.01634877384196185,0.017775838713859793
2,anthropic/claude-3-haiku-20240307,chatgpt,0.6294277929155313,0.7595628415300546,0.3787465940054496,0.01761774725808923
3,anthropic/claude-3-5-sonnet-20240620,claude,0.5190735694822888,1.0,0.03814713896457766,0.01839914977495573
4,openai/gpt-4o,chatgpt,0.3977272727272727,0.0072992700729927005,0.0015151515151515152,0.013618279907368821
5,openai/gpt-4o-mini,claude,0.5833333333333334,0.9824561403508771,0.1696969696969697,0.01339587088003341
6,anthropic/claude-3-haiku-20240307,chatgpt,0.7037878787878787,0.8240963855421687,0.5181818181818182,0.012555834894541658
7,anthropic/claude-3-5-sonnet-20240620,claude,0.7856060606060606,1.0,0.5712121212121212,0.011638205248051606
