,model,model_that_generated_system_prompt,accuracy,precision,recall,bootstrap_std
0,openai/gpt-4o,chatgpt,0.40054495912806537,0.025974025974025976,0.005449591280653951,0.018095699981401567
1,openai/gpt-4o-mini,claude,0.5081743869209809,0.8,0.021798365122615803,0.018905451380111283
2,anthropic/claude-3-haiku-20240307,chatgpt,0.6566757493188011,0.7699530516431925,0.44686648501362397,0.01762520401162018
3,anthropic/claude-3-5-sonnet-20240620,claude,0.5517711171662125,1.0,0.10354223433242507,0.01795606085808493
