,model,model_that_generated_system_prompt,accuracy,precision,recall,bootstrap_std
0,openai/gpt-4o,chatgpt,0.39090909090909093,0.013513513513513514,0.0030303030303030303,0.013780668090355015
1,openai/gpt-4o-mini,claude,0.5825757575757575,0.9224806201550387,0.1803030303030303,0.013665956021972644
2,anthropic/claude-3-haiku-20240307,chatgpt,0.7166666666666667,0.8042553191489362,0.5727272727272728,0.01245321729904915
3,anthropic/claude-3-5-sonnet-20240620,claude,0.796969696969697,1.0,0.593939393939394,0.011097507041423099
