,model,model_that_generated_system_prompt,accuracy,precision,recall,bootstrap_std
0,openai/gpt-4o,chatgpt,0.36363636363636365,0.02127659574468085,0.006060606060606061,0.018686725190549237
1,openai/gpt-4o-mini,claude,0.5681818181818182,0.9245283018867925,0.1484848484848485,0.018999021227991488
2,anthropic/claude-3-haiku-20240307,chatgpt,0.7242424242424242,0.7681159420289855,0.6424242424242425,0.017237872262218394
3,anthropic/claude-3-5-sonnet-20240620,claude,0.8590909090909091,1.0,0.7181818181818181,0.013678550819631903
